Time,Temperature,ProcessTemperature,AgentType,AgentFlow,SampleType,CatalystType,CatalystRatio,Hydrogen,Experiment_Group
35,700,700,Air,0.2,TWTS,No Catalyst,0.0,10.0,23
36,700,700,Air,0.2,TWTS,No Catalyst,0.0,10.0,23
37,700,700,Air,0.2,TWTS,No Catalyst,0.0,10.0,23
39,700,700,Air,0.2,TWTS,No Catalyst,0.0,10.0,23
40,700,700,Air,0.2,TWTS,No Catalyst,0.0,10.0,23
1,10,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
2,11,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
3,12,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
4,16,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
5,25,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
6,48,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
7,70,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
8,102,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
9,140,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
10,185,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
11,290,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
12,350,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
13,402,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
14,453,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
15,513,700,Air,0.3,TWTS,No Catalyst,0.0,0.0,11
16,540,700,Air,0.3,TWTS,No Catalyst,0.0,1.0,11
17,575,700,Air,0.3,TWTS,No Catalyst,0.0,1.0,11
18,617,700,Air,0.3,TWTS,No Catalyst,0.0,1.0,11
19,632,700,Air,0.3,TWTS,No Catalyst,0.0,1.0,11
20,656,700,Air,0.3,TWTS,No Catalyst,0.0,1.0,11
21,680,700,Air,0.3,TWTS,No Catalyst,0.0,2.0,11
22,700,700,Air,0.3,TWTS,No Catalyst,0.0,3.0,11
23,700,700,Air,0.3,TWTS,No Catalyst,0.0,5.0,11
24,700,700,Air,0.3,TWTS,No Catalyst,0.0,7.0,11
25,700,700,Air,0.3,TWTS,No Catalyst,0.0,9.0,11
26,700,700,Air,0.3,TWTS,No Catalyst,0.0,11.0,11
27,700,700,Air,0.3,TWTS,No Catalyst,0.0,13.0,11
28,700,700,Air,0.3,TWTS,No Catalyst,0.0,12.0,11
29,700,700,Air,0.3,TWTS,No Catalyst,0.0,11.0,11
30,700,700,Air,0.3,TWTS,No Catalyst,0.0,10.0,11
31,700,700,Air,0.3,TWTS,No Catalyst,0.0,9.0,11
32,700,700,Air,0.3,TWTS,No Catalyst,0.0,9.0,11
33,700,700,Air,0.3,TWTS,No Catalyst,0.0,9.0,11
