Time;Temperature;ProcessTemperature;AgentType;AgentFlow;SampleType;CatalystType;CatalystRatio;Hydrogen
13;355;800;Air;0.1;TWTS;No Catalyst;0;0
14;413;800;Air;0.1;TWTS;No Catalyst;0;1
15;466;800;Air;0.1;TWTS;No Catalyst;0;1
16;510;800;Air;0.1;TWTS;No Catalyst;0;1
17;549;800;Air;0.1;TWTS;No Catalyst;0;1
18;581;800;Air;0.1;TWTS;No Catalyst;0;1
19;610;800;Air;0.1;TWTS;No Catalyst;0;2
20;636;800;Air;0.1;TWTS;No Catalyst;0;3
21;659;800;Air;0.1;TWTS;No Catalyst;0;5
22;682;800;Air;0.1;TWTS;No Catalyst;0;8
23;702;800;Air;0.1;TWTS;No Catalyst;0;11
24;720;800;Air;0.1;TWTS;No Catalyst;0;15
25;737;800;Air;0.1;TWTS;No Catalyst;0;18
26;754;800;Air;0.1;TWTS;No Catalyst;0;20
27;768;800;Air;0.1;TWTS;No Catalyst;0;22
28;784;800;Air;0.1;TWTS;No Catalyst;0;24
29;797;800;Air;0.1;TWTS;No Catalyst;0;25
30;800;800;Air;0.1;TWTS;No Catalyst;0;26
31;800;800;Air;0.1;TWTS;No Catalyst;0;27
32;800;800;Air;0.1;TWTS;No Catalyst;0;28
33;800;800;Air;0.1;TWTS;No Catalyst;0;28
34;800;800;Air;0.1;TWTS;No Catalyst;0;25
35;800;800;Air;0.1;TWTS;No Catalyst;0;24
36;800;800;Air;0.1;TWTS;No Catalyst;0;24
37;800;800;Air;0.1;TWTS;No Catalyst;0;24
38;800;800;Air;0.1;TWTS;No Catalyst;0;23
39;800;800;Air;0.1;TWTS;No Catalyst;0;21
40;800;800;Air;0.1;TWTS;No Catalyst;0;20
41;800;800;Air;0.1;TWTS;No Catalyst;0;21
42;800;800;Air;0.1;TWTS;No Catalyst;0;21
43;800;800;Air;0.1;TWTS;No Catalyst;0;19
44;800;800;Air;0.1;TWTS;No Catalyst;0;18
45;800;800;Air;0.1;TWTS;No Catalyst;0;17
46;800;800;Air;0.1;TWTS;No Catalyst;0;17
47;800;800;Air;0.1;TWTS;No Catalyst;0;17
48;800;800;Air;0.1;TWTS;No Catalyst;0;16
49;800;800;Air;0.1;TWTS;No Catalyst;0;15
50;800;800;Air;0.1;TWTS;No Catalyst;0;14
51;800;800;Air;0.1;TWTS;No Catalyst;0;14
52;800;800;Air;0.1;TWTS;No Catalyst;0;13
53;800;800;Air;0.1;TWTS;No Catalyst;0;13
54;800;800;Air;0.1;TWTS;No Catalyst;0;12
55;800;800;Air;0.1;TWTS;No Catalyst;0;12
56;800;800;Air;0.1;TWTS;No Catalyst;0;11
57;800;800;Air;0.1;TWTS;No Catalyst;0;11
58;800;800;Air;0.1;TWTS;No Catalyst;0;10
59;800;800;Air;0.1;TWTS;No Catalyst;0;10
1;6;900;Air;0.1;TWTS;No Catalyst;0;0
2;9;900;Air;0.1;TWTS;No Catalyst;0;0
3;12;900;Air;0.1;TWTS;No Catalyst;0;0
4;15;900;Air;0.1;TWTS;No Catalyst;0;0
5;18;900;Air;0.1;TWTS;No Catalyst;0;0
6;28;900;Air;0.1;TWTS;No Catalyst;0;0
7;47;900;Air;0.1;TWTS;No Catalyst;0;0
8;77;900;Air;0.1;TWTS;No Catalyst;0;0
9;118;900;Air;0.1;TWTS;No Catalyst;0;0
10;167;900;Air;0.1;TWTS;No Catalyst;0;1
11;226;900;Air;0.1;TWTS;No Catalyst;0;1
12;290;900;Air;0.1;TWTS;No Catalyst;0;1
13;355;900;Air;0.1;TWTS;No Catalyst;0;1
14;413;900;Air;0.1;TWTS;No Catalyst;0;1
15;466;900;Air;0.1;TWTS;No Catalyst;0;1
16;510;900;Air;0.1;TWTS;No Catalyst;0;2
17;549;900;Air;0.1;TWTS;No Catalyst;0;4
18;581;900;Air;0.1;TWTS;No Catalyst;0;7
19;610;900;Air;0.1;TWTS;No Catalyst;0;10
20;636;900;Air;0.1;TWTS;No Catalyst;0;13
21;659;900;Air;0.1;TWTS;No Catalyst;0;17
22;682;900;Air;0.1;TWTS;No Catalyst;0;20
23;702;900;Air;0.1;TWTS;No Catalyst;0;22
24;720;900;Air;0.1;TWTS;No Catalyst;0;24
25;737;900;Air;0.1;TWTS;No Catalyst;0;26
26;754;900;Air;0.1;TWTS;No Catalyst;0;27
27;768;900;Air;0.1;TWTS;No Catalyst;0;28
28;784;900;Air;0.1;TWTS;No Catalyst;0;29
29;797;900;Air;0.1;TWTS;No Catalyst;0;30
30;810;900;Air;0.1;TWTS;No Catalyst;0;31
31;823;900;Air;0.1;TWTS;No Catalyst;0;32
32;835;900;Air;0.1;TWTS;No Catalyst;0;32
33;847;900;Air;0.1;TWTS;No Catalyst;0;33
34;859;900;Air;0.1;TWTS;No Catalyst;0;34
35;869;900;Air;0.1;TWTS;No Catalyst;0;32
36;879;900;Air;0.1;TWTS;No Catalyst;0;31
37;889;900;Air;0.1;TWTS;No Catalyst;0;31
38;900;900;Air;0.1;TWTS;No Catalyst;0;31
39;900;900;Air;0.1;TWTS;No Catalyst;0;30
40;900;900;Air;0.1;TWTS;No Catalyst;0;27
41;900;900;Air;0.1;TWTS;No Catalyst;0;26
42;900;900;Air;0.1;TWTS;No Catalyst;0;25
